# specify 1 map per line, mapname|factoryid
# ex: aerowalk|ffa
# see factories.txt for valid factory id values
almostlost|ca
asylum|ca
blackcathedral|ca
bloodrun|ca
bloodrunintel|ca
campgrounds|ca
cannedheat|ca
cliffside|ca
deepinside|ca
dreadfulplace|ca
drunkenmummy|ca
eviscerated|ca
evolution|ca
hearth|ca
hellsgate|ca
hiddenfortress|ca
leviathan|ca
limbus|ca
overkill|ca
purgatory|ca
quarantine|ca
repent|ca
retribution|ca
servitude|ca
spacechamber|ca
theatreofpain|ca
theedge|ca
thunderstruck|ca
tornado|ca
trinity|ca
